Code,API url
346a,for=new%20england%20city%20and%20town%20area%20(or%20part):{}&in=state:{}%20combined%20new%20england%20city%20and%20town%20area%20(or%20part):{}
346b,for=new%20england%20city%20and%20town%20area%20(or%20part):{}&in=state:{}%20combined%20new%20england%20city%20and%20town%20area%20(or%20part):{}
350a,for=new%20england%20city%20and%20town%20area:{}
350b,for=new%20england%20city%20and%20town%20area:{}
351a,for=state%20(or%20part):{}&in=new%20england%20city%20and%20town%20area:{}
351b,for=state%20(or%20part):{}&in=new%20england%20city%20and%20town%20area:{}
352a,for=principal%20city:{}&in=new%20england%20city%20and%20town%20area:{}
352b,for=principal%20city:{}&in=new%20england%20city%20and%20town%20area:{}&in=state%20(or%20part):{}
352c,for=principal%20city:{}&in=new%20england%20city%20and%20town%20area:{}%20state%20(or%20part):{}
353a,for=county%20(or%20part):{}&in=new%20england%20city%20and%20town%20area:{}
353b,for=county%20(or%20part):{}&in=new%20england%20city%20and%20town%20area:{}&in=state%20(or%20part):{}
353c,for=county%20(or%20part):{}&in=new%20england%20city%20and%20town%20area:{}%20state%20(or%20part):{}
354a,for=county%20subdivision:{}&in=new%20england%20city%20and%20town%20area:{}%20state%20(or%20part):{}
354b,for=county%20subdivision:{}&in=new%20england%20city%20and%20town%20area:{}&in=state%20(or%20part):{}&in=county%20(or%20part):{}
354c,for=county%20subdivision:{}&in=new%20england%20city%20and%20town%20area:{}%20state%20(or%20part):{}%20county%20(or%20part):{}
355a,for=necta%20division:{}&in=new%20england%20city%20and%20town%20area:{}
355b,for=necta%20division:{}&in=new%20england%20city%20and%20town%20area:{}
356a,for=state%20(or%20part):{}&in=new%20england%20city%20and%20town%20area:{}%20necta%20division:{}
356b,for=state%20(or%20part):{}&in=new%20england%20city%20and%20town%20area:{}%20necta%20division:{}
357a,for=county%20(or%20part):{}&in=new%20england%20city%20and%20town%20area:{}%20necta%20division:{}%20state%20(or%20part):{}
357b,for=county%20(or%20part):{}&in=new%20england%20city%20and%20town%20area:{}%20necta%20division:{}%20state%20(or%20part):{}
358a,for=county%20subdivision:{}&in=new%20england%20city%20and%20town%20area:{}%20necta%20division:{}%20state%20(or%20part):{}%20county%20(or%20part):{}
358b,for=county%20subdivision:{}&in=new%20england%20city%20and%20town%20area:{}%20necta%20division:{}%20state%20(or%20part):{}%20county%20(or%20part):{}
360a,for=new%20england%20city%20and%20town%20area%20(or%20part):{}&in=state:{}
360b,for=new%20england%20city%20and%20town%20area%20(or%20part):{}&in=state:{}
361a,for=principal%20city:{}&in=state:{}%20new%20england%20city%20and%20town%20area%20(or%20part):{}
361b,for=principal%20city:{}&in=state:{}%20new%20england%20city%20and%20town%20area%20(or%20part):{}
362a,for=county%20(or%20part):{}&in=state:{}%20new%20england%20city%20and%20town%20area%20(or%20part):{}
362b,for=county%20(or%20part):{}&in=state:{}%20new%20england%20city%20and%20town%20area%20(or%20part):{}
363a,for=county%20subdivision:{}&in=state:{}%20new%20england%20city%20and%20town%20area%20(or%20part):{}%20county%20(or%20part):{}
363b,for=county%20subdivision:{}&in=state:{}%20new%20england%20city%20and%20town%20area%20(or%20part):{}%20county%20(or%20part):{}
364a,for=necta%20division%20(or%20part):{}&in=state:{}%20new%20england%20city%20and%20town%20area%20(or%20part):{}
364b,for=necta%20division%20(or%20part):{}&in=state:{}%20new%20england%20city%20and%20town%20area%20(or%20part):{}
365a,for=county%20(or%20part):{}&in=state:{}%20new%20england%20city%20and%20town%20area%20(or%20part):{}%20necta%20division%20(or%20part):{}
365b,for=county%20(or%20part):{}&in=state:{}%20new%20england%20city%20and%20town%20area%20(or%20part):{}%20necta%20division%20(or%20part):{}
366a,for=county%20subdivision:{}&in=state:{}%20new%20england%20city%20and%20town%20area%20(or%20part):{}%20necta%20division%20(or%20part):{}%20county%20(or%20part):{}
366b,for=county%20subdivision:{}&in=state:{}%20new%20england%20city%20and%20town%20area%20(or%20part):{}%20necta%20division%20(or%20part):{}%20county%20(or%20part):{}
400a,for=urban%20area:{}
400b,for=urban%20area:{}
410a,for=state%20(or%20part):{}&in=urban%20area:{}
410b,for=state%20(or%20part):{}&in=urban%20area:{}
430a,for=county%20(or%20part):{}&in=urban%20area:{}%20state%20(or%20part):{}
430b,for=county%20(or%20part):{}&in=urban%20area:{}%20state%20(or%20part):{}
500a,for=congressional%20district:{}
500b,for=congressional%20district:{}&in=state:{}
500c,for=congressional%20district:{}&in=state:{}
510a,for=county%20(or%20part):{}&in=state:{}%20congressional%20district:{}
510b,for=county%20(or%20part):{}&in=state:{}%20congressional%20district:{}
550a,for=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land%20(or%20part):{}&in=state:{}%20congressional%20district:{}
550b,for=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land%20(or%20part):{}&in=state:{}%20congressional%20district:{}
610a,for=state%20legislative%20district%20(upper%20chamber):{}&in=state:{}
610b,for=state%20legislative%20district%20(upper%20chamber):{}&in=state:{}
612a,for=county%20(or%20part):{}&in=state:{}%20state%20legislative%20district%20(upper%20chamber):{}
612b,for=county%20(or%20part):{}&in=state:{}%20state%20legislative%20district%20(upper%20chamber):{}
620a,for=state%20legislative%20district%20(lower%20chamber):{}&in=state:{}
620b,for=state%20legislative%20district%20(lower%20chamber):{}&in=state:{}
622a,for=county%20(or%20part):{}&in=state:{}%20state%20legislative%20district%20(lower%20chamber):{}
622b,for=county%20(or%20part):{}&in=state:{}%20state%20legislative%20district%20(lower%20chamber):{}
795a,for=public%20use%20microdata%20area:{}
795b,for=public%20use%20microdata%20area:{}&in=state:{}
795c,for=public%20use%20microdata%20area:{}&in=state:{}
860a,for=zip%20code%20tabulation%20area:{}
860b,for=zip%20code%20tabulation%20area:{}
950a,for=school%20district%20(elementary):{}&in=state:{}
950b,for=school%20district%20(elementary):{}&in=state:{}
960a,for=school%20district%20(secondary):{}&in=state:{}
960b,for=school%20district%20(secondary):{}&in=state:{}
970a,for=school%20district%20(unified):{}&in=state:{}
970b,for=school%20district%20(unified):{}&in=state:{}
